Country,Confederation,total_P,total_GF,total_GA
Greece,UEFA,18,24,18
Finland,UEFA,8,8,6
Bosnia and Herzegovina,UEFA,8,13,11
Slovenia,UEFA,11,11,11
Montenegro,UEFA,10,21,22
North Macedonia,UEFA,10,19,21
Albania,UEFA,10,22,17
Bulgaria,UEFA,10,12,16
Israel,UEFA,16,27,34
Belarus,UEFA,8,4,21
Georgia,UEFA,8,10,12
Luxembourg,UEFA,8,4,17
Armenia,UEFA,8,8,17
Cyprus,UEFA,10,11,29
Faroe Islands,UEFA,10,14,22
Azerbaijan,UEFA,10,8,27
Estonia,UEFA,10,11,25
Kosovo,UEFA,8,4,31
Kazakhstan,UEFA,8,5,23
Lithuania,UEFA,8,2,16
Latvia,UEFA,8,11,16
Andorra,UEFA,8,4,23
Malta,UEFA,8,1,36
Moldova,UEFA,10,12,42
Liechtenstein,UEFA,10,4,57
Gibraltar,UEFA,10,6,42
San Marino,UEFA,10,5,72
